delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus;expnum
90;282.766345224195;293.584797293935;10.8184520697404;1.50035043400021;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-70;352.766345224195;3.45545411286524;10.6891088886703;0.850443417999486;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-40;32.766345224195;19.4337646906245;-13.3325805335705;0.975582013001258;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
0;114.947385267211;130.103252859053;15.1558675918415;0.874214116000076;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-180;294.947385267211;298.173161936389;3.22577666917749;1.51674219399865;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-100;34.9473852672111;26.3913842792308;-8.55600098798036;0.933686239000963;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-40;74.9473852672111;72.7439193344148;-2.20346593279632;1.05809346699971;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
20;54.9473852672111;64.2954341147465;9.3480488475354;1.01645504599946;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-40;94.9473852672111;111.760961183526;16.8135759163153;0.966195015000267;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
140;314.947385267211;306.54998999705;-8.39739527016138;0.817621331998453;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
120;194.947385267211;225.907728808598;30.9603435413865;0.85969107299934;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
30;164.947385267211;161.964997321309;-2.9823879459021;1.36651353600064;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-170;334.947385267211;325.397603987375;-9.54978127983577;1.10815606700089;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
20;314.947385267211;325.924125010666;10.9767397434546;2.34474453500115;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-180;134.947385267211;136.174428072768;1.22704280555712;1.34081972299828;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
70;64.9473852672111;60.3448545261317;-4.60253074107946;0.916444423999565;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
90;334.947385267211;322.622867709985;-12.3245175572266;1.4003378260004;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
110;224.947385267211;213.535378227683;-11.4120070395279;1.34990825499881;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
50;174.947385267211;162.549342450124;-12.3980428170868;0.867297834000055;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
150;24.9473852672111;42.9780823263597;18.0306970591486;1.38412707600037;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
30;354.947385267211;352.623347017216;-2.32403824999483;1.25982186700094;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-70;64.9473852672111;67.7875904882061;2.840205220995;1.72533461500097;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-170;234.947385267211;226.442765241085;-8.50462002612605;1.00208999099959;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
180;54.9473852672111;59.412652667561;4.46526740034986;0.72029963299974;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
110;304.947385267211;306.561415242654;1.61402997544309;1.11943048399917;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
80;224.947385267211;229.793327863996;4.84594259678465;0.924942867999562;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
140;84.9473852672111;86.2975752600019;1.35018999279079;0.975114709999616;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
100;344.947385267211;331.922508956689;-13.0248763105221;0.850678245000381;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-150;134.947385267211;146.019544954217;11.072159687006;0.915793808999297;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
40;94.9473852672111;100.302490363022;5.35510509581097;1.4588091200003;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-10;104.947385267211;107.418817461128;2.47143219391694;1.13405636900097;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
150;314.947385267211;308.568311183506;-6.37907408370478;0.950459921999936;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
60;254.947385267211;245.584731170997;-9.36265409621387;1.47518167199996;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
0;254.947385267211;250.14293915919;-4.80444610802112;0.792933923999954;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
160;94.9473852672111;86.8271538167186;-8.12023145049255;1.1077279730016;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-160;254.947385267211;248.667693764899;-6.27969150231255;1.01141970299977;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
150;104.947385267211;112.204944966146;7.25755969893507;1.11570005999965;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-90;194.947385267211;218.296365376622;23.3489801094105;1.24199103200044;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-80;274.947385267211;284.748517790005;9.80113252279409;1.52533586199934;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
0;274.947385267211;266.699800772528;-8.24758449468271;1.09987154199916;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
40;234.947385267211;245.282683437621;10.3352981704099;1.10815436600024;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-30;264.947385267211;253.323738828864;-11.6236464383473;1.07539026699851;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
