obs;theta;resp;error;block;cond;rt;trials;delta;study;experiment;stimulus;expnum
2;23.619;30.503;6.88399999999999;12;1;9;15;-56.653;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;265.672;268.422;2.74999999999997;12;1;9;16;117.947;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;317.444;315.641;-1.803;12;1;9;17;-51.7719999999999;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;191.719;193.15;1.43100000000001;12;1;9;18;125.725;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;101.1862;273.134;171.9478;13;1;9;1;90.5328;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;343.318;337.25;-6.06800000000001;13;1;9;2;117.8682;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;3.07900000000001;356.37;-6.70899999999995;13;1;9;3;-19.761;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;153.275;152.2408;-1.0342;13;1;9;4;-150.196;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;307.141;302.903;-4.23800000000003;13;1;9;5;-153.866;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;242.415;245.018;2.60299999999995;13;1;9;6;64.726;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;75.428;73.557;-1.87100000000004;13;1;9;7;166.987;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;204.099;193.009;-11.09;13;1;9;8;-128.671;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;127.3024;303.853;176.5506;13;1;9;9;76.7966;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;220.66;233.684;13.024;13;1;9;10;-93.3576;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;185.197;180.721;-4.476;13;1;9;11;35.463;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;53.414;182.06;128.646;13;1;9;12;131.783;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;270.53;270.439;-0.0909999999999513;13;1;9;13;142.884;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;32.931;43.719;10.788;13;1;9;14;-122.401;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;85.8561;78.987;-6.8691;13;1;9;15;-52.9251;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;163.646;151.105;-12.541;13;1;9;16;-77.7899;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;320.06;333.801;13.741;13;1;9;17;-156.414;Chetverikov & Jehee (2023);Experiment 1;Motion;1
