obs;theta;resp;error;rt;block;delta;study;experiment;stimulus;expnum
1;28;18;-10;1.83310413360596;3;54;Lau & Maus (2019);Experiment 1;Orientation;1
1;171;164;-7;1.29286503791809;3;37;Lau & Maus (2019);Experiment 1;Orientation;1
1;151;168;17;1.28286910057068;3;20;Lau & Maus (2019);Experiment 1;Orientation;1
1;48;43;-5;1.14292407035828;3;-77;Lau & Maus (2019);Experiment 1;Orientation;1
1;115;132;17;1.70332407951355;3;-67;Lau & Maus (2019);Experiment 1;Orientation;1
1;25;10;-15;1.07280993461609;3;90;Lau & Maus (2019);Experiment 1;Orientation;1
1;14;9;-5;1.13282799720764;3;11;Lau & Maus (2019);Experiment 1;Orientation;1
1;12;5;-7;0.653095006942749;3;2;Lau & Maus (2019);Experiment 1;Orientation;1
1;60;48;-12;1.12309598922729;3;-48;Lau & Maus (2019);Experiment 1;Orientation;1
1;51;42;-9;1.45310711860657;3;9;Lau & Maus (2019);Experiment 1;Orientation;1
1;52;41;-11;0.942934989929199;3;-1;Lau & Maus (2019);Experiment 1;Orientation;1
1;101;103;2;1.33380484580994;3;-49;Lau & Maus (2019);Experiment 1;Orientation;1
1;56;35;-21;1.08286714553833;3;45;Lau & Maus (2019);Experiment 1;Orientation;1
1;58;52;-6;1.08294486999512;3;-2;Lau & Maus (2019);Experiment 1;Orientation;1
1;111;115;4;1.07312798500061;3;-53;Lau & Maus (2019);Experiment 1;Orientation;1
1;179;175;-4;1.26289296150208;3;-68;Lau & Maus (2019);Experiment 1;Orientation;1
1;16;8;-8;0.82302188873291;3;-17;Lau & Maus (2019);Experiment 1;Orientation;1
1;93;96;3;1.19311094284058;3;-77;Lau & Maus (2019);Experiment 1;Orientation;1
1;141;150;9;1.10329699516296;3;-48;Lau & Maus (2019);Experiment 1;Orientation;1
1;98;105;7;1.12284994125366;3;43;Lau & Maus (2019);Experiment 1;Orientation;1
1;176;175;-1;0.93320107460022;3;-78;Lau & Maus (2019);Experiment 1;Orientation;1
1;152;160;8;1.02321004867554;3;24;Lau & Maus (2019);Experiment 1;Orientation;1
1;105;103;-2;1.6328558921814;3;47;Lau & Maus (2019);Experiment 1;Orientation;1
1;130;143;13;1.19293189048767;3;-25;Lau & Maus (2019);Experiment 1;Orientation;1
1;52;45;-7;1.35306906700134;3;78;Lau & Maus (2019);Experiment 1;Orientation;1
1;72;58;-14;0.972936868667603;3;-20;Lau & Maus (2019);Experiment 1;Orientation;1
1;11;3;-8;1.61292290687561;3;61;Lau & Maus (2019);Experiment 1;Orientation;1
1;177;175;-2;1.1230731010437;3;14;Lau & Maus (2019);Experiment 1;Orientation;1
1;89;93;4;1.47291994094849;3;88;Lau & Maus (2019);Experiment 1;Orientation;1
1;66;65;-1;1.13299202919006;3;23;Lau & Maus (2019);Experiment 1;Orientation;1
1;68;66;-2;1.44308400154114;3;-2;Lau & Maus (2019);Experiment 1;Orientation;1
1;113;110;-3;1.28293299674988;3;-45;Lau & Maus (2019);Experiment 1;Orientation;1
1;10;5;-5;0.972997188568115;3;-77;Lau & Maus (2019);Experiment 1;Orientation;1
1;76;75;-1;0.783066987991333;3;-66;Lau & Maus (2019);Experiment 1;Orientation;1
1;79;77;-2;1.51357817649841;3;-3;Lau & Maus (2019);Experiment 1;Orientation;1
1;78;78;0;1.14286017417908;3;1;Lau & Maus (2019);Experiment 1;Orientation;1
