obs;theta;resp;error;delta;block;rt;cond;study;experiment;stimulus;expnum
1;105;96.7142857142857;-8.28571428571428;75;4;2.33336013299413;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;15.2857142857143;0.285714285714292;90;4;1.89999164648907;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;22.1428571428571;-22.8571428571429;-30;4;4.100083620644;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;34.2857142857143;19.2857142857143;30;4;3.85007898772528;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;30.8571428571429;-29.1428571428571;-45;4;1.91665390831804;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;21;6;45;4;1.81666750772092;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;36.5714285714286;-23.4285714285714;-45;4;2.65002407692918;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;34.1428571428571;-10.8571428571429;15;4;2.70011150369828;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;30.2857142857143;0.285714285714278;15;4;2.08332784510458;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;91.4285714285714;16.4285714285714;-45;4;2.24999779045356;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;36.5714285714286;-8.42857142857143;30;4;1.86665286769312;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;65.4285714285714;-9.57142857142857;-30;4;2.21666927535807;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;80.5714285714286;35.5714285714286;30;4;1.89998651463793;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;123.714285714286;78.7142857142857;0;4;2.13341584207774;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;28.1428571428571;-16.8571428571429;0;4;2.83336113085352;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;30;0;15;4;1.29994209562574;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;90.4285714285714;0.428571428571445;-60;4;2.533355742411;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;97.8571428571429;7.85714285714286;0;4;3.86683333775181;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;142.428571428571;-22.5714285714286;-75;4;3.98341728184641;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;33;3;-45;4;2.33334046090386;1;Cicchini et al. (2018);Experiment 2;Orientation;1
