trial,file,orientation,response,separations,error
66,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,42,63,-38,-21
67,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,48,59,6,-11
68,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-36,-35,-84,-1
69,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,47,60,83,-13
70,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-29,-28,-76,-1
71,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,77,78,-74,-1
72,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-33,-24,70,-9
73,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,27,22,60,5
74,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,39,37,12,2
75,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,83,76,44,7
76,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-86,-85,11,-1
77,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-24,-19,62,-5
78,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,10,10,34,0
79,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,46,45,36,1
80,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,47,52,1,-5
81,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,39,54,-8,-15
82,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,76,76,37,0
83,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-15,-18,89,3
84,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-80,-69,-65,-11
85,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,68,80,-32,-12
86,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,51,68,-17,-17
87,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,85,79,34,6
88,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,59,73,-26,-14
89,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,76,77,17,-1
90,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,56,68,-20,-12
91,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-78,-72,46,-6
92,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-74,-72,4,-2
93,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-64,-69,10,5
94,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-17,-16,47,-1
95,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-26,-23,-9,-3
96,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-16,-15,10,-1
97,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,48,71,64,-23
98,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-59,-62,73,3
99,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-69,-65,-10,-4
100,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-7,-11,62,4
101,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,23,19,30,4
102,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-10,-5,-33,-5
103,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,0,-5,10,5
104,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,20,17,20,3
1,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,-66,-60,52,-6
2,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,19,29,85,-10
3,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,1,9,-18,-8
4,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,82,74,81,8
5,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,-29,-30,69,1
6,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,-73,-67,-44,-6
7,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,-61,-67,12,6
8,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,51,63,-68,-12
9,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,35,43,-16,-8
10,C:\Users\admin\Box\desktop\deidentified\S1_left_4.txt,-29,-28,-64,-1
